,car,body,mileage,engV,engType,registration,year,drive
3598,29,3,160,1.6,1,1,2008,0
5850,25,1,220,2.0,3,1,1993,0
1531,3,2,73,2.0,3,1,2012,2
5356,35,4,214,1.6,0,1,2010,0
7784,2,3,186,2.5,0,1,1996,0
5763,21,0,78,2.0,3,1,2013,0
5925,27,3,110,2.0,3,1,2008,0
6782,26,2,350,2.4,0,1,1988,0
4939,3,3,300,2.0,3,1,1986,2
6469,45,1,44,1.5,3,1,2013,0
8151,43,5,53,2.0,0,1,2013,1
4750,43,5,176,2.0,0,1,2011,0
5910,3,0,80,3.0,3,1,2012,1
5836,42,1,168,1.5,3,1,2002,0
5632,42,3,125,1.6,3,1,2006,0
7629,18,3,98,3.7,3,1,2013,1
5050,43,3,325,1.8,1,1,2003,0
390,38,0,230,2.5,1,1,2006,1
6707,2,2,79,4.2,3,1,2007,1
4571,17,3,70,1.4,3,1,2011,0
8165,7,5,400,2.5,0,0,2003,0
6590,33,5,92,1.5,0,1,2013,0
7487,27,0,87,3.8,1,1,2008,1
151,40,3,16,2.5,3,1,2013,0
8085,35,3,190,1.8,1,1,2008,0
4180,28,0,240,3.0,0,1,2003,1
3402,2,3,1,2.3,1,1,1989,0
5394,13,4,260,1.8,0,1,2008,0
6363,43,1,1,1.8,1,1,1996,0
8278,29,4,272,1.8,3,1,1998,0
2036,21,3,140,1.6,0,1,2008,0
2973,25,3,95,2.0,2,1,2008,0
7366,26,5,184,2.2,0,1,2012,2
3376,42,1,161,1.6,1,1,2007,0
8208,10,3,65,1.5,3,1,2012,0
5498,2,2,60,2.0,3,1,2011,1
5098,40,4,89,1.8,3,1,2012,0
8549,35,3,85,1.8,3,1,2012,0
2182,26,3,350,3.0,0,1,1994,2
3282,18,0,95,3.5,1,1,2007,1
4644,40,3,0,1.8,3,1,2016,0
5257,13,1,36,1.3,3,1,2012,0
6507,28,5,90,1.5,0,1,2013,0
8166,31,1,34,1.0,3,1,2013,0
2826,35,1,120,1.2,3,1,2006,0
3470,28,3,119,3.5,1,1,2010,0
4608,34,3,141,2.0,1,1,2007,0
7543,26,3,450,4.2,1,1,1997,2
6053,43,1,156,1.6,3,1,2007,0
4621,12,5,150,1.6,0,1,2008,0
7881,23,0,275,4.7,1,1,2004,1
1289,25,3,134,1.6,3,1,2008,0
3399,13,5,210,1.8,0,1,2010,0
42,27,0,110,2.4,3,1,2006,1
2397,28,0,155,2.5,1,1,2007,1
7523,3,3,50,2.5,3,1,1988,2
2128,43,5,300,1.8,1,1,1999,0
2783,17,1,137,1.4,1,1,2007,0
2901,33,5,119,1.5,0,1,2012,0
3584,40,3,286,1.6,3,1,2000,0
1674,21,3,1,1.4,3,1,2015,0
3644,2,3,112,2.0,0,1,2012,0
3756,35,3,95,1.8,3,1,2012,0
7652,5,3,58,2.0,3,1,2007,0
805,21,0,48,2.0,0,1,2014,1
5307,35,3,139,1.8,3,1,2008,0
2968,35,1,128,1.2,3,1,2006,0
2085,26,3,409,2.6,3,1,1991,2
7694,33,3,89,1.6,3,1,2012,0
110,6,3,106,1.6,3,1,2007,0
3337,10,3,87,1.5,1,1,2007,0
2632,3,0,52,3.0,3,1,2012,1
6932,43,4,185,1.4,3,1,2011,0
5418,28,3,115,3.0,2,1,1993,0
4870,43,3,0,1.6,0,1,2016,0
4641,40,3,110,1.6,3,1,2011,0
864,43,1,68,1.4,3,1,2013,0
2348,17,1,108,1.4,3,1,2007,0
7905,33,4,0,1.5,0,1,2016,0
6447,43,4,289,2.0,3,1,1994,0
3824,29,4,251,1.8,3,1,1997,0
474,33,5,129,1.5,2,1,2014,0
5562,43,4,288,1.8,3,1,1990,0
7089,2,3,200,1.8,3,1,2003,0
7091,2,3,260,2.5,0,1,2002,0
1132,35,1,71,1.8,3,1,2014,0
3695,35,3,287,1.9,0,0,1998,0
5372,43,3,2,1.6,0,1,2016,0
5753,35,1,1,1.2,3,1,2016,0
286,26,3,123,3.2,3,1,2000,2
5226,26,3,270,2.7,0,1,2001,2
374,32,2,11,3.8,3,1,2010,2
5981,6,3,170,1.5,3,1,2006,0
4225,34,3,68,2.0,3,1,2007,0
3221,42,0,100,1.6,3,1,1992,1
741,40,3,96,2.4,1,1,2008,0
2837,29,5,180,2.0,0,1,2012,0
1196,40,0,153,2.7,1,1,2006,1
4863,42,4,67,1.6,1,1,2012,0
6292,44,3,312,2.5,0,0,2000,0
2309,26,3,111,2.5,0,1,1989,2
3733,25,3,300,2.0,0,0,2003,0
4013,39,0,179,2.0,3,1,2003,1
8487,24,2,30,2.0,0,1,2014,1
3622,35,1,230,1.8,3,1,2001,0
6417,33,5,265,1.5,0,1,2008,0
7939,8,1,23,1.0,3,1,2013,0
3147,26,5,250,2.2,0,1,2005,2
5545,15,3,146,1.5,1,1,2008,0
2191,40,3,172,1.8,1,1,2005,0
7705,29,4,270,1.7,0,1,2003,0
4907,35,1,96,1.2,3,1,2007,0
8634,43,4,235,1.4,3,1,2000,0
5141,27,0,170,3.0,1,1,2005,1
