,car,body,mileage,engV,engType,registration,year,drive
6509,13,3,57,2.0,3,1,2012,0
6968,30,1,57,1.8,3,1,2014,0
7440,42,3,111,1.6,3,1,2010,0
4858,40,4,300,2.0,3,1,1989,0
8514,23,0,225,3.0,3,1,2003,1
5677,42,3,110,1.6,3,1,2009,0
4045,40,3,181,2.4,3,1,2008,0
4867,28,4,323,2.0,3,1,1994,0
7049,3,2,55,2.0,3,1,2014,2
2226,26,5,185,2.2,0,1,2011,2
3902,2,3,341,2.8,3,1,1992,0
3366,29,3,1,1.3,3,1,1988,0
1919,17,1,1,1.6,0,1,2015,0
6015,21,3,136,2.0,0,1,2008,0
2781,3,0,186,5.0,3,1,2008,1
4938,35,3,198,1.8,3,1,2011,0
984,3,3,200,4.4,3,1,2001,2
1558,3,3,280,3.0,3,1,2001,2
8335,42,3,7,1.2,3,1,1984,2
4014,26,3,230,2.0,3,1,2001,2
5608,3,3,220,2.5,3,1,2005,2
6670,29,4,115,1.7,0,1,2009,0
8809,40,0,157,2.7,1,1,2007,1
4597,40,5,127,3.5,2,1,2007,1
1921,8,5,52,1.6,0,1,2015,0
1682,2,2,182,2.5,0,0,2002,1
6309,43,4,18,1.6,0,1,2011,0
7907,36,2,100,1.0,3,1,2008,2
8364,28,3,110,1.6,3,1,2008,0
4458,33,1,10,1.6,3,1,2014,0
8554,10,3,145,1.5,1,1,1997,0
2732,3,0,85,3.0,3,1,2010,1
5402,28,0,207,3.5,3,1,2006,1
5005,29,2,84,2.0,0,1,2010,0
5620,31,5,240,1.6,0,1,2008,0
2996,25,3,127,1.6,2,1,2005,0
4218,26,3,180,3.0,0,1,2006,1
2745,10,1,26,0.8,3,1,2012,0
3785,27,4,120,1.3,3,1,2005,0
3947,26,3,230,5.0,3,1,2002,2
4711,43,3,57,2.0,0,1,2013,0
2401,26,4,113,2.2,0,1,2010,2
5229,35,3,130,2.0,0,1,2009,0
3061,5,1,76,1.1,3,1,2007,0
4782,43,3,350,2.0,1,1,2000,0
4137,42,1,217,1.5,3,1,2002,0
6132,26,0,64,2.2,0,1,2013,1
289,25,3,89,2.0,3,1,2009,0
8307,35,1,39,1.2,3,1,2014,0
1206,3,3,245,3.0,0,1,2003,2
2579,2,4,171,2.0,0,1,2008,0
2545,28,1,73,1.4,3,1,2013,0
255,17,0,102,2.2,0,1,2008,1
302,26,3,275,2.2,2,1,2005,2
124,43,2,145,2.0,0,1,2011,0
5243,19,3,240,3.0,3,1,2001,1
1327,10,1,80,1.5,3,1,2013,0
2281,10,3,159,1.5,1,1,2004,0
5154,43,5,210,2.0,0,1,2012,0
3605,5,1,95,1.1,3,1,2008,0
7592,35,1,84,1.8,3,1,2006,0
1628,29,3,140,1.6,3,1,1996,0
7588,31,5,117,1.4,0,1,2009,0
5194,13,3,86,1.6,3,1,2011,0
2265,37,0,165,2.7,0,1,2008,1
341,3,3,270,2.5,0,0,1992,2
3563,2,0,27,2.0,3,1,2011,1
4561,26,3,260,2.2,0,1,2008,2
3176,42,3,90,1.6,3,1,2008,0
6745,16,0,111,2.4,3,1,2008,1
4942,33,3,240,1.7,1,1,1988,0
1310,40,3,22,2.5,3,1,2015,0
1923,40,1,1,1.6,3,1,2016,0
2440,6,3,97,2.0,3,1,2010,0
7949,35,3,250,1.8,3,1,2004,0
582,42,3,154,1.6,1,1,2008,0
1548,31,0,90,1.6,0,1,2014,0
7738,12,5,190,1.3,0,1,2005,0
6815,28,0,42,1.6,3,1,2012,1
6090,23,0,54,3.5,1,1,2010,1
418,43,3,140,2.0,3,1,2006,0
2014,26,3,199,3.2,0,1,1999,0
6027,42,1,150,1.5,3,1,2006,0
6824,43,3,88,1.6,3,1,2014,0
7325,23,0,87,4.7,1,1,2007,1
4255,10,1,125,1.5,3,1,2007,0
825,17,0,27,2.0,3,1,2012,1
3226,29,3,332,2.0,1,1,1997,2
327,10,1,36,0.8,3,1,2011,0
3380,33,4,1,1.0,0,0,2006,0
2862,29,3,182,1.8,3,1,2007,0
1660,27,1,240,1.8,3,1,2000,0
326,23,0,150,4.7,1,1,2005,1
216,43,3,80,1.6,3,1,2011,0
7032,19,3,22,2.0,3,1,2015,2
1299,3,3,115,3.0,0,1,2010,2
7367,27,0,89,3.8,1,1,2008,1
7090,26,2,457,5.0,1,1,1996,2
1652,45,3,29,1.3,3,1,2015,0
5181,22,0,47,4.4,0,1,2013,1
5100,26,2,10,2.2,0,1,2012,2
552,43,3,82,2.0,0,1,2012,0
4638,29,4,29,1.6,3,1,1990,0
5602,3,2,110,2.5,3,1,1983,2
7153,33,5,149,1.5,0,1,2013,0
1656,31,0,110,1.6,1,1,2013,0
4489,42,1,122,1.5,2,1,1992,0
6298,40,3,89,1.8,2,1,2011,0
7737,33,5,128,1.5,0,1,2009,2
8139,28,0,79,2.0,1,1,2012,1
8218,40,3,48,1.4,0,1,2013,0
737,43,3,80,1.4,3,1,2013,0
5811,42,3,91,1.6,1,1,2009,0
4693,43,5,250,2.5,0,1,2008,0
7733,30,3,30,1.6,3,1,2014,0
7734,40,0,281,4.2,0,1,1999,1
2523,26,1,232,3.0,0,1,2007,2
8328,42,4,230,1.6,1,1,2007,0
6921,33,1,232,1.8,3,1,1997,0
1576,16,3,142,2.4,3,1,2008,0
3936,15,3,129,1.5,1,1,2008,0
6958,42,3,200,1.5,3,1,2000,2
1288,2,3,234,2.5,2,0,2000,0
2839,29,2,369,2.0,3,1,1991,0
5724,34,4,124,1.2,0,1,2011,0
3253,42,1,77,1.3,3,1,1992,0
6047,21,1,75,1.6,3,1,2012,0
7996,25,3,213,1.8,1,1,1989,0
1629,38,3,230,1.6,3,1,2003,0
249,6,3,199,1.6,1,1,2012,0
7483,29,4,250,2.0,0,0,2000,0
8391,24,1,120,1.6,3,1,2003,0
466,10,3,64,1.4,3,1,2008,0
556,2,0,65,2.99,0,1,2013,1
5892,43,1,266,1.9,0,1,1993,0
7349,30,3,1,1.5,3,1,2014,0
4948,29,5,220,1.3,0,1,2008,0
2439,27,1,294,1.6,1,1,1992,0
1699,35,3,72,1.8,3,1,2014,0
559,33,5,123,1.5,0,1,2009,0
4902,43,3,180,1.9,0,0,2003,0
3786,10,3,85,1.4,3,1,2007,0
3776,35,1,91,1.8,3,1,2011,0
7335,43,2,10,1.6,0,1,1984,2
5725,43,3,102,1.8,3,1,2011,0
4667,3,3,400,2.8,3,1,1998,2
8640,42,3,5,1.6,3,1,2007,2
